Date : 2026-03-10 14:33:22
Directory : c:\Users\conta\Desktop\project\client
Total : 430 files,  43692 codes, 61 comments, 4197 blanks, all 47950 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| src\app\edit\name\shop\con-name                                                                                          |          3 |        139 |          0 |         32 |        171 |
| src\app\edit\name\shop\con-name\[id]                                                                                     |          1 |         47 |          0 |         11 |         58 |
| src\app\edit\name\shop\con-name\com-free                                                                                 |          1 |         45 |          0 |         10 |         55 |
| src\app\edit\name\shop\con-name\com-free\[id]                                                                            |          1 |         45 |          0 |         10 |         55 |
| src\app\edit\name\shop\con-name\singup                                                                                   |          1 |         47 |          0 |         11 |         58 |
| src\app\edit\name\shop\con-name\singup\[id]                                                                              |          1 |         47 |          0 |         11 |         58 |
| src\app\edit\name\shop\rep-name                                                                                          |          3 |        139 |          0 |         32 |        171 |
| src\app\edit\name\shop\rep-name\[id]                                                                                     |          1 |         47 |          0 |         11 |         58 |
| src\app\edit\name\shop\rep-name\com-free                                                                                 |          1 |         45 |          0 |         10 |         55 |
| src\app\edit\name\shop\rep-name\com-free\[id]                                                                            |          1 |         45 |          0 |         10 |         55 |
| src\app\edit\name\shop\rep-name\signup                                                                                   |          1 |         47 |          0 |         11 |         58 |
| src\app\edit\name\shop\rep-name\signup\[id]                                                                              |          1 |         47 |          0 |         11 |         58 |
| src\app\edit\phone-number                                                                                                |          4 |        227 |          0 |         46 |        273 |
| src\app\edit\phone-number (Files)                                                                                        |          2 |        136 |          0 |         25 |        161 |
| src\app\edit\phone-number\delivery                                                                                       |          1 |         46 |          0 |         11 |         57 |
| src\app\edit\phone-number\delivery\[id]                                                                                  |          1 |         46 |          0 |         11 |         57 |
| src\app\edit\phone-number\shop                                                                                           |          1 |         45 |          0 |         10 |         55 |
| src\app\edit\phone-number\shop\[id]                                                                                      |          1 |         45 |          0 |         10 |         55 |
| src\app\edit\profile                                                                                                     |          3 |        204 |          0 |         34 |        238 |
| src\app\edit\shop                                                                                                        |         12 |        966 |          0 |        183 |      1,149 |
| src\app\edit\shop\com-free                                                                                               |          8 |        700 |          0 |        131 |        831 |
| src\app\edit\shop\com-free (Files)                                                                                       |          1 |         79 |          0 |         15 |         94 |
| src\app\edit\shop\com-free\[id]                                                                                          |          1 |         45 |          0 |         10 |         55 |
| src\app\edit\shop\com-free\complete                                                                                      |          2 |         35 |          0 |          6 |         41 |
| src\app\edit\shop\com-free\confirm                                                                                       |          2 |        233 |          0 |         42 |        275 |
| src\app\edit\shop\com-free\confirm (Files)                                                                               |          1 |        187 |          0 |         32 |        219 |
| src\app\edit\shop\com-free\confirm\[id]                                                                                  |          1 |         46 |          0 |         10 |         56 |
| src\app\edit\shop\com-free\upload                                                                                        |          2 |        308 |          0 |         58 |        366 |
| src\app\edit\shop\com-free\upload (Files)                                                                                |          1 |        277 |          0 |         51 |        328 |
| src\app\edit\shop\com-free\upload\[id]                                                                                   |          1 |         31 |          0 |          7 |         38 |
| src\app\edit\shop\company-name                                                                                           |          2 |        116 |          0 |         27 |        143 |
| src\app\edit\shop\company-name (Files)                                                                                   |          1 |         72 |          0 |         17 |         89 |
| src\app\edit\shop\company-name\[id]                                                                                      |          1 |         44 |          0 |         10 |         54 |
| src\app\edit\shop\option                                                                                                 |          2 |        150 |          0 |         25 |        175 |
| src\app\edit\shop\option (Files)                                                                                         |          1 |        106 |          0 |         15 |        121 |
| src\app\edit\shop\option\[id]                                                                                            |          1 |         44 |          0 |         10 |         54 |
| src\app\guide                                                                                                            |         14 |      1,172 |          0 |        208 |      1,380 |
| src\app\guide (Files)                                                                                                    |          1 |         31 |          0 |          5 |         36 |
| src\app\guide\account                                                                                                    |          4 |        222 |          0 |         40 |        262 |
| src\app\guide\account (Files)                                                                                            |          2 |        139 |          0 |         25 |        164 |
| src\app\guide\account\sign                                                                                               |          2 |         83 |          0 |         15 |         98 |
| src\app\guide\buyer                                                                                                      |          2 |        198 |          0 |         43 |        241 |
| src\app\guide\penalty                                                                                                    |          2 |        211 |          0 |         22 |        233 |
| src\app\guide\seller                                                                                                     |          3 |        350 |          0 |         72 |        422 |
| src\app\guide\shop                                                                                                       |          2 |        160 |          0 |         26 |        186 |
| src\app\inquiry                                                                                                          |          7 |        224 |          0 |         36 |        260 |
| src\app\item                                                                                                             |         66 |      4,749 |          5 |        665 |      5,419 |
| src\app\item (Files)                                                                                                     |          7 |        363 |          0 |         42 |        405 |
| src\app\item-list                                                                                                        |         17 |      1,129 |          3 |        158 |      1,290 |
| src\app\item-list (Files)                                                                                                |         10 |        916 |          3 |        124 |      1,043 |
| src\app\item-list\cart                                                                                                   |          1 |         37 |          0 |          7 |         44 |
| src\app\item-list\deleted                                                                                                |          1 |         27 |          0 |          4 |         31 |
| src\app\item-list\draft                                                                                                  |          1 |         27 |          0 |          4 |         31 |
| src\app\item-list\good                                                                                                   |          1 |         27 |          0 |          4 |         31 |
| src\app\item-list\stock                                                                                                  |          1 |         27 |          0 |          4 |         31 |
| src\app\item-list\uploaded                                                                                               |          1 |         41 |          0 |          7 |         48 |
| src\app\item-list\watch-history                                                                                          |          1 |         27 |          0 |          4 |         31 |
| src\app\item\[id]                                                                                                        |          1 |         78 |          0 |         14 |         92 |
| src\app\item\commentSection                                                                                              |         12 |        903 |          1 |        140 |      1,044 |
| src\app\item\confirm                                                                                                     |          4 |        345 |          0 |         46 |        391 |
| src\app\item\confirm (Files)                                                                                             |          3 |        286 |          0 |         32 |        318 |
| src\app\item\confirm\[id]                                                                                                |          1 |         59 |          0 |         14 |         73 |
| src\app\item\deleted                                                                                                     |          4 |        306 |          0 |         50 |        356 |
| src\app\item\deleted (Files)                                                                                             |          3 |        245 |          0 |         36 |        281 |
| src\app\item\deleted\[id]                                                                                                |          1 |         61 |          0 |         14 |         75 |
| src\app\item\draft                                                                                                       |          3 |         86 |          0 |         16 |        102 |
| src\app\item\draft (Files)                                                                                               |          2 |         27 |          0 |          2 |         29 |
| src\app\item\draft\[id]                                                                                                  |          1 |         59 |          0 |         14 |         73 |
| src\app\item\itemSection                                                                                                 |         15 |      1,095 |          4 |        140 |      1,239 |
| src\app\item\itemSection (Files)                                                                                         |         12 |        820 |          4 |         99 |        923 |
| src\app\item\itemSection\buySection                                                                                      |          3 |        275 |          0 |         41 |        316 |
| src\app\item\madmax                                                                                                      |          3 |        239 |          0 |         36 |        275 |
| src\app\item\madmax (Files)                                                                                              |          2 |        180 |          0 |         23 |        203 |
| src\app\item\madmax\[id]                                                                                                 |          1 |         59 |          0 |         13 |         72 |
| src\app\item\others                                                                                                      |          1 |         31 |          0 |          4 |         35 |
| src\app\item\sellerSection                                                                                               |          7 |        668 |          0 |         93 |        761 |
| src\app\item\videoSection                                                                                                |          9 |        635 |          0 |         84 |        719 |
| src\app\login                                                                                                            |          7 |        309 |          0 |         46 |        355 |
| src\app\login (Files)                                                                                                    |          3 |        113 |          0 |         17 |        130 |
| src\app\login\new-pw                                                                                                     |          2 |        133 |          0 |         17 |        150 |
| src\app\login\new-pw (Files)                                                                                             |          1 |        111 |          0 |         14 |        125 |
| src\app\login\new-pw\[token]                                                                                             |          1 |         22 |          0 |          3 |         25 |
| src\app\login\reset-pw-mail                                                                                              |          2 |         63 |          0 |         12 |         75 |
| src\app\lp                                                                                                               |         31 |      1,634 |          0 |        198 |      1,832 |
| src\app\lp (Files)                                                                                                       |          4 |        509 |          0 |         49 |        558 |
| src\app\lp\button                                                                                                        |          3 |         66 |          0 |          6 |         72 |
| src\app\lp\footer                                                                                                        |          2 |         69 |          0 |          5 |         74 |
| src\app\lp\header                                                                                                        |          3 |         57 |          0 |          6 |         63 |
| src\app\lp\itemList                                                                                                      |          2 |        484 |          0 |         67 |        551 |
| src\app\lp\main                                                                                                          |         16 |        403 |          0 |         55 |        458 |
| src\app\lp\main (Files)                                                                                                  |          7 |        302 |          0 |         38 |        340 |
| src\app\lp\main\mainComponent                                                                                            |          9 |        101 |          0 |         17 |        118 |
| src\app\lp\shop                                                                                                          |          1 |         46 |          0 |         10 |         56 |
| src\app\my-page                                                                                                          |         12 |        639 |          0 |         85 |        724 |
| src\app\privacy-policy                                                                                                   |          2 |        141 |          0 |         24 |        165 |
| src\app\profile                                                                                                          |         16 |      1,084 |          0 |        163 |      1,247 |
| src\app\profile (Files)                                                                                                  |         14 |        999 |          0 |        140 |      1,139 |
| src\app\profile\[id]                                                                                                     |          1 |         41 |          0 |         10 |         51 |
| src\app\profile\madmax                                                                                                   |          1 |         44 |          0 |         13 |         57 |
| src\app\profile\madmax\[id]                                                                                              |          1 |         44 |          0 |         13 |         57 |
| src\app\report                                                                                                           |          7 |        239 |          0 |         44 |        283 |
| src\app\report (Files)                                                                                                   |          5 |        157 |          0 |         24 |        181 |
| src\app\report\comment                                                                                                   |          1 |         41 |          0 |         10 |         51 |
| src\app\report\comment\[id]                                                                                              |          1 |         41 |          0 |         10 |         51 |
| src\app\report\item                                                                                                      |          1 |         41 |          0 |         10 |         51 |
| src\app\report\item\[id]                                                                                                 |          1 |         41 |          0 |         10 |         51 |
| src\app\shop-signup                                                                                                      |         20 |      2,274 |          2 |        362 |      2,638 |
| src\app\shop-signup (Files)                                                                                              |          8 |        669 |          1 |         92 |        762 |
| src\app\shop-signup\complete                                                                                             |          2 |         35 |          0 |          6 |         41 |
| src\app\shop-signup\step1                                                                                                |          2 |        494 |          0 |         70 |        564 |
| src\app\shop-signup\step2                                                                                                |          2 |        316 |          1 |         54 |        371 |
| src\app\shop-signup\step2 (Files)                                                                                        |          1 |        272 |          1 |         44 |        317 |
| src\app\shop-signup\step2\[id]                                                                                           |          1 |         44 |          0 |         10 |         54 |
| src\app\shop-signup\step3                                                                                                |          2 |        325 |          0 |         62 |        387 |
| src\app\shop-signup\step3 (Files)                                                                                        |          1 |        281 |          0 |         52 |        333 |
| src\app\shop-signup\step3\[id]                                                                                           |          1 |         44 |          0 |         10 |         54 |
| src\app\shop-signup\step4                                                                                                |          2 |        141 |          0 |         28 |        169 |
| src\app\shop-signup\step4 (Files)                                                                                        |          1 |        110 |          0 |         21 |        131 |
| src\app\shop-signup\step4\[id]                                                                                           |          1 |         31 |          0 |          7 |         38 |
| src\app\shop-signup\step5                                                                                                |          2 |        294 |          0 |         50 |        344 |
| src\app\shop-signup\step5 (Files)                                                                                        |          1 |        250 |          0 |         40 |        290 |
| src\app\shop-signup\step5\[id]                                                                                           |          1 |         44 |          0 |         10 |         54 |
| src\app\signup                                                                                                           |          6 |        286 |          0 |         44 |        330 |
| src\app\signup (Files)                                                                                                   |          3 |        132 |          0 |         18 |        150 |
| src\app\signup\verify                                                                                                    |          3 |        154 |          0 |         26 |        180 |
| src\app\terms-and-conditions                                                                                             |          2 |        540 |          0 |         78 |        618 |
| src\app\tokutei                                                                                                          |          5 |        268 |          0 |         45 |        313 |
| src\app\tokutei (Files)                                                                                                  |          2 |        105 |          0 |         16 |        121 |
| src\app\tokutei\link                                                                                                     |          1 |         28 |          0 |          5 |         33 |
| src\app\tokutei\selling                                                                                                  |          2 |        135 |          0 |         24 |        159 |
| src\app\transfar                                                                                                         |          8 |        602 |          0 |         94 |        696 |
| src\app\transfar (Files)                                                                                                 |          4 |        240 |          0 |         28 |        268 |
| src\app\transfar\points                                                                                                  |          2 |        164 |          0 |         32 |        196 |
| src\app\transfar\request                                                                                                 |          2 |        198 |          0 |         34 |        232 |
| src\app\upload                                                                                                           |         33 |      3,675 |         35 |        572 |      4,282 |
| src\app\upload (Files)                                                                                                   |         17 |      2,554 |         29 |        390 |      2,973 |
| src\app\upload\[id]                                                                                                      |          1 |         63 |          0 |         13 |         76 |
| src\app\upload\before                                                                                                    |          2 |         74 |          0 |         15 |         89 |
| src\app\upload\draft                                                                                                     |          1 |         63 |          0 |         13 |         76 |
| src\app\upload\draft\[id]                                                                                                |          1 |         63 |          0 |         13 |         76 |
| src\app\upload\edit                                                                                                      |          1 |         63 |          0 |         13 |         76 |
| src\app\upload\edit\[id]                                                                                                 |          1 |         63 |          0 |         13 |         76 |
| src\app\upload\hooks                                                                                                     |          2 |        437 |          6 |         65 |        508 |
| src\app\upload\ok                                                                                                        |          7 |        314 |          0 |         52 |        366 |
| src\app\upload\ok (Files)                                                                                                |          6 |        264 |          0 |         39 |        303 |
| src\app\upload\ok\[id]                                                                                                   |          1 |         50 |          0 |         13 |         63 |
| src\app\upload\types                                                                                                     |          2 |        107 |          0 |         11 |        118 |
| src\app\user-list                                                                                                        |         13 |        676 |          0 |         94 |        770 |
| src\app\user-list (Files)                                                                                                |          7 |        463 |          0 |         60 |        523 |
| src\app\user-list\follow                                                                                                 |          4 |        145 |          0 |         22 |        167 |
| src\app\user-list\follow (Files)                                                                                         |          3 |         87 |          0 |         10 |         97 |
| src\app\user-list\follow\[id]                                                                                            |          1 |         58 |          0 |         12 |         70 |
| src\app\user-list\good-comment                                                                                           |          1 |         34 |          0 |          6 |         40 |
| src\app\user-list\good-comment\[id]                                                                                      |          1 |         34 |          0 |          6 |         40 |
| src\app\user-list\good-item                                                                                              |          1 |         34 |          0 |          6 |         40 |
| src\app\user-list\good-item\[id]                                                                                         |          1 |         34 |          0 |          6 |         40 |
| src\assets                                                                                                               |          1 |          1 |          0 |          0 |          1 |
| src\assets\images                                                                                                        |          1 |          1 |          0 |          0 |          1 |
| src\assets\images\website-image                                                                                          |          1 |          1 |          0 |          0 |          1 |
| src\assets\images\website-image\logo&mark                                                                                |          1 |          1 |          0 |          0 |          1 |
| src\components                                                                                                           |         70 |      2,299 |          4 |        326 |      2,629 |
| src\components (Files)                                                                                                   |          3 |         68 |          0 |         11 |         79 |
| src\components\accordion                                                                                                 |          4 |        116 |          0 |         16 |        132 |
| src\components\accordion (Files)                                                                                         |          2 |         57 |          0 |          9 |         66 |
| src\components\accordion\styles                                                                                          |          2 |         59 |          0 |          7 |         66 |
| src\components\confirm-card                                                                                              |          2 |        265 |          1 |         28 |        294 |
| src\components\container                                                                                                 |          2 |         31 |          0 |          5 |         36 |
| src\components\follow-button                                                                                             |          2 |        104 |          1 |         18 |        123 |
| src\components\footer                                                                                                    |          2 |        123 |          0 |         18 |        141 |
| src\components\guide                                                                                                     |          8 |         99 |          0 |         12 |        111 |
| src\components\guide (Files)                                                                                             |          5 |         60 |          0 |          9 |         69 |
| src\components\guide\styles                                                                                              |          3 |         39 |          0 |          3 |         42 |
| src\components\header                                                                                                    |          4 |        698 |          2 |        124 |        824 |
| src\components\inputForm                                                                                                 |          7 |        214 |          0 |         17 |        231 |
| src\components\itemListRow                                                                                               |          2 |        125 |          0 |         12 |        137 |
| src\components\link                                                                                                      |          6 |         90 |          0 |         11 |        101 |
| src\components\list                                                                                                      |          9 |         84 |          0 |         12 |         96 |
| src\components\loading                                                                                                   |          2 |         46 |          0 |          7 |         53 |
| src\components\terms                                                                                                     |          7 |         98 |          0 |         12 |        110 |
| src\components\title-back                                                                                                |          4 |         71 |          0 |         12 |         83 |
| src\components\tokutei                                                                                                   |          4 |         36 |          0 |          6 |         42 |
| src\components\two-text-container                                                                                        |          2 |         31 |          0 |          5 |         36 |
| src\hooks                                                                                                                |          3 |        107 |          1 |         20 |        128 |
| src\lib                                                                                                                  |          7 |        206 |          0 |         39 |        245 |
| src\providers                                                                                                            |          2 |         37 |          0 |          6 |         43 |
| src\styles                                                                                                               |          7 |        789 |          6 |        112 |        907 |
| src\styles (Files)                                                                                                       |          6 |        500 |          6 |         70 |        576 |
| src\styles\components-style                                                                                              |          1 |        289 |          0 |         42 |        331 |
| src\types                                                                                                                |          4 |        164 |          0 |         19 |        183 |
+--------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                 | language           | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\conta\Desktop\project\client\README.md                                                                          | Markdown           |         23 |          0 |         14 |         37 |
| c:\Users\conta\Desktop\project\client\eslint.config.mjs                                                                  | JavaScript         |         12 |          0 |          5 |         17 |
| c:\Users\conta\Desktop\project\client\eslintrc.json                                                                      | JSON               |          7 |          0 |          1 |          8 |
| c:\Users\conta\Desktop\project\client\next.config.js                                                                     | JavaScript         |         16 |          1 |          2 |         19 |
| c:\Users\conta\Desktop\project\client\package-lock.json                                                                  | JSON               |     16,045 |          0 |          1 |     16,046 |
| c:\Users\conta\Desktop\project\client\package.json                                                                       | JSON               |         60 |          0 |          1 |         61 |
| c:\Users\conta\Desktop\project\client\postcss.config.mjs                                                                 | JavaScript         |          7 |          1 |          2 |         10 |
| c:\Users\conta\Desktop\project\client\public\file.svg                                                                    | XML                |          1 |          0 |          0 |          1 |
| c:\Users\conta\Desktop\project\client\public\globe.svg                                                                   | XML                |          1 |          0 |          0 |          1 |
| c:\Users\conta\Desktop\project\client\public\next.svg                                                                    | XML                |          1 |          0 |          0 |          1 |
| c:\Users\conta\Desktop\project\client\public\vercel.svg                                                                  | XML                |          1 |          0 |          0 |          1 |
| c:\Users\conta\Desktop\project\client\public\window.svg                                                                  | XML                |          1 |          0 |          0 |          1 |
| c:\Users\conta\Desktop\project\client\src\app\api\auth\[...nextauth]\route.ts                                            | TypeScript         |          4 |          0 |          2 |          6 |
| c:\Users\conta\Desktop\project\client\src\app\company\content.tsx                                                        | TypeScript JSX     |         48 |          0 |         10 |         58 |
| c:\Users\conta\Desktop\project\client\src\app\company\page.tsx                                                           | TypeScript JSX     |         28 |          0 |          4 |         32 |
| c:\Users\conta\Desktop\project\client\src\app\edit\account\accountEditForm.tsx                                           | TypeScript JSX     |        301 |          1 |         47 |        349 |
| c:\Users\conta\Desktop\project\client\src\app\edit\account\page.tsx                                                      | TypeScript JSX     |         38 |          0 |          8 |         46 |
| c:\Users\conta\Desktop\project\client\src\app\edit\account\shop\[id]\page.tsx                                            | TypeScript JSX     |         45 |          0 |         10 |         55 |
| c:\Users\conta\Desktop\project\client\src\app\edit\account\shop\com-free\[id]\page.tsx                                   | TypeScript JSX     |         45 |          0 |         10 |         55 |
| c:\Users\conta\Desktop\project\client\src\app\edit\account\shop\signup\[id]\page.tsx                                     | TypeScript JSX     |         45 |          0 |         10 |         55 |
| c:\Users\conta\Desktop\project\client\src\app\edit\account\transfar\page.tsx                                             | TypeScript JSX     |         41 |          0 |          9 |         50 |
| c:\Users\conta\Desktop\project\client\src\app\edit\address\addressEditForm.tsx                                           | TypeScript JSX     |        181 |          0 |         27 |        208 |
| c:\Users\conta\Desktop\project\client\src\app\edit\address\delivery\[id]\page.tsx                                        | TypeScript JSX     |         46 |          0 |         11 |         57 |
| c:\Users\conta\Desktop\project\client\src\app\edit\address\page.tsx                                                      | TypeScript JSX     |         38 |          0 |          8 |         46 |
| c:\Users\conta\Desktop\project\client\src\app\edit\address\shop\[id]\page.tsx                                            | TypeScript JSX     |         45 |          0 |         10 |         55 |
| c:\Users\conta\Desktop\project\client\src\app\edit\address\shop\com-free\[id]\page.tsx                                   | TypeScript JSX     |         45 |          0 |         10 |         55 |
| c:\Users\conta\Desktop\project\client\src\app\edit\address\shop\signup\[id]\page.tsx                                     | TypeScript JSX     |         45 |          0 |         10 |         55 |
| c:\Users\conta\Desktop\project\client\src\app\edit\edit.module.css                                                       | PostCSS            |        318 |          0 |         32 |        350 |
| c:\Users\conta\Desktop\project\client\src\app\edit\editUI.tsx                                                            | TypeScript JSX     |         16 |          0 |          2 |         18 |
| c:\Users\conta\Desktop\project\client\src\app\edit\email\emailEditForm.tsx                                               | TypeScript JSX     |         63 |          0 |         13 |         76 |
| c:\Users\conta\Desktop\project\client\src\app\edit\email\new-email\[token]\fetch.tsx                                     | TypeScript JSX     |         34 |          0 |         10 |         44 |
| c:\Users\conta\Desktop\project\client\src\app\edit\email\new-email\[token]\page.tsx                                      | TypeScript JSX     |         12 |          0 |          3 |         15 |
| c:\Users\conta\Desktop\project\client\src\app\edit\email\page.tsx                                                        | TypeScript JSX     |         27 |          0 |          5 |         32 |
| c:\Users\conta\Desktop\project\client\src\app\edit\honnin\honninEditForm.tsx                                             | TypeScript JSX     |        365 |          0 |         48 |        413 |
| c:\Users\conta\Desktop\project\client\src\app\edit\honnin\page.tsx                                                       | TypeScript JSX     |         41 |          0 |          8 |         49 |
| c:\Users\conta\Desktop\project\client\src\app\edit\layout.tsx                                                            | TypeScript JSX     |          4 |          0 |          1 |          5 |
| c:\Users\conta\Desktop\project\client\src\app\edit\name\delivery\[id]\page.tsx                                           | TypeScript JSX     |         47 |          0 |         11 |         58 |
| c:\Users\conta\Desktop\project\client\src\app\edit\name\nameEditForm.tsx                                                 | TypeScript JSX     |        269 |          0 |         43 |        312 |
| c:\Users\conta\Desktop\project\client\src\app\edit\name\page.tsx                                                         | TypeScript JSX     |         38 |          0 |          8 |         46 |
| c:\Users\conta\Desktop\project\client\src\app\edit\name\shop\con-name\[id]\page.tsx                                      | TypeScript JSX     |         47 |          0 |         11 |         58 |
| c:\Users\conta\Desktop\project\client\src\app\edit\name\shop\con-name\com-free\[id]\page.tsx                             | TypeScript JSX     |         45 |          0 |         10 |         55 |
| c:\Users\conta\Desktop\project\client\src\app\edit\name\shop\con-name\singup\[id]\page.tsx                               | TypeScript JSX     |         47 |          0 |         11 |         58 |
| c:\Users\conta\Desktop\project\client\src\app\edit\name\shop\rep-name\[id]\page.tsx                                      | TypeScript JSX     |         47 |          0 |         11 |         58 |
| c:\Users\conta\Desktop\project\client\src\app\edit\name\shop\rep-name\com-free\[id]\page.tsx                             | TypeScript JSX     |         45 |          0 |         10 |         55 |
| c:\Users\conta\Desktop\project\client\src\app\edit\name\shop\rep-name\signup\[id]\page.tsx                               | TypeScript JSX     |         47 |          0 |         11 |         58 |
| c:\Users\conta\Desktop\project\client\src\app\edit\phone-number\delivery\[id]\page.tsx                                   | TypeScript JSX     |         46 |          0 |         11 |         57 |
| c:\Users\conta\Desktop\project\client\src\app\edit\phone-number\page.tsx                                                 | TypeScript JSX     |         41 |          0 |          9 |         50 |
| c:\Users\conta\Desktop\project\client\src\app\edit\phone-number\phoneNumberEdit.tsx                                      | TypeScript JSX     |         95 |          0 |         16 |        111 |
| c:\Users\conta\Desktop\project\client\src\app\edit\phone-number\shop\[id]\page.tsx                                       | TypeScript JSX     |         45 |          0 |         10 |         55 |
| c:\Users\conta\Desktop\project\client\src\app\edit\profile\page.tsx                                                      | TypeScript JSX     |         41 |          0 |         10 |         51 |
| c:\Users\conta\Desktop\project\client\src\app\edit\profile\profileEditForm.tsx                                           | TypeScript JSX     |         90 |          0 |         14 |        104 |
| c:\Users\conta\Desktop\project\client\src\app\edit\profile\profileImage.tsx                                              | TypeScript JSX     |         73 |          0 |         10 |         83 |
| c:\Users\conta\Desktop\project\client\src\app\edit\shop\com-free\[id]\page.tsx                                           | TypeScript JSX     |         45 |          0 |         10 |         55 |
| c:\Users\conta\Desktop\project\client\src\app\edit\shop\com-free\complete\element.tsx                                    | TypeScript JSX     |         20 |          0 |          4 |         24 |
| c:\Users\conta\Desktop\project\client\src\app\edit\shop\com-free\complete\page.tsx                                       | TypeScript JSX     |         15 |          0 |          2 |         17 |
